rut,nombre,password,telefono,cant_libros
34.191.933-6,Michael Jensen,b'ov0VLVDVBkEwD1N_ZTgP4abo7SViAOLIVQlsCTgTkyU=',980824187,1
34.129.783-4,Joseph Ramirez,b'B3NKMkfWH88nmiBEMbFjabuehl1BnyKV3NZ4ao8BZoE=',965697302,2
27.135.950-5,John Montoya,b'OXrtaqMyUBIQEtBE3ag0nWMpjVTTxIkAsWTsc6-ZOGk=',917644837,3
17.892.524-3,Cameron Terrell MD,b'Un7qjCtQO5AI38w2hQ6pqiS7_PiWrNuECS-qlsyZn2I=',930685879,2
35.708.454-7,Robert Hoffman,b'LuIQIC7Oh7EFhbAu8gOYhyzqVabA8yZIYN9_K8WrO8Y=',940449506,0
24.431.103-5,Abigail Rice,b'F33t99tAcoP-lEWQfivZfziUKcrzlH067f6vxat-kgQ=',994340832,3
16.505.217-5,Kayla Sosa,b'OLglvP0jqpSKQAkoDJIwI6AoVD4Df-d9clEj6gZCpr0=',962680296,4
37.254.785-3,Jose Scott,b'chHHBJrM2lb4lQv-rLA6UiCgmjtwVWe2Qqg3LYwCPyU=',942111471,3
30.481.209-k,Matthew Mendoza,b'9EXkVmfuHIXkC6cD7g8srMTQmuChGB9ypnjogylxygE=',974048270,5
42.610.489-8,Laura Cochran,b'fNgkt3YyMeMP5MKBawSUxPCDCd_2_0lQv-lhA-DsPCc=',948029026,1
30.809.511-2,Lisa Bray,b'WP8O8-qfJd3JqkTwV7OH93YUAC9Fz_3J_u_XevtkWsE=',902155966,0
49.414.184-7,Cynthia Roberson,b'pi0CPKOI_JGCI_OvEbubfmtULJYMLzDuYriRCPAcfnE=',971976574,4
21.548.402-4,Kelly Crosby,b'WNO061kWfYtJHJf-UJjzXo8d7FH6yPYTRa7cY9Jwo3o=',981361808,1
34.272.250-3,Cassandra Webster,b'y3OKO0bzD4ekizU-eUFbCwQGZm3pLT88FW0nQjjB3UU=',990866238,1
34.382.517-3,Steven King,b'jBgug_zdCijixIkF5IME0EjkWD--wHqhs84SWMi8gVI=',996118526,2
38.355.964-k,David Reyes,b'kaYqWaR5MzrQp1ahEUfSbHZgLXs6vYGYSEmAbP4EqZM=',926987883,1
20.130.641-9,Christina Reed,b'ZpdIF4wNl-Br8OBjs78Wy6_XnsAx0hHWW9tyVSNgBhE=',928696696,3
31.956.988-6,Kimberly Vasquez,b'6l6LrDkfBsIKCUyegI5clNAjnjLZB7Cizw36X5LxIj8=',923074273,0
6.953.645-9,Alexa Gray,b'AXypTjd-KTGpEbFPX3j5JcPM84kNUef5eqs-J2WKTjo=',953978447,1
2.108.568-7,William Williams,b'KfioyOei1ITmPUbhErddsDbsEpp4V0TtO7WAQETF3c4=',934968205,5
21.878.610-k,Alyssa Shaw,b'whHrBQzSJyN3QQHRSE89tKkjF15Ddq5LCGoDnN47Gu0=',932924153,2
11.595.542-0,George Powell,b'QAoETK_qNuIW_z9cPU0rc12J_itcY3FAV75FxgJfBAQ=',940039470,3
40.558.201-k,Gary Peterson,b'YQq14y7ETquVHLEF0T_i9_iwdMVo_G-nYc1_q6ANjXM=',951312539,5
27.972.689-0,Kevin Cochran,b'PpRMTyDQLc7ZuN3BEi3WN0P6hZuPhLnTxs7GWuwyR50=',996870486,0
3.598.702-5,Mary Frederick,b'WKLeG5ErthE_bWMjyLo4oqlXYf_NB3_3rPb8rcVa3I4=',942304653,3
27.357.288-4,Melissa Wade,b'xufdQAvAqAT_3hCoAzD0k0PAZXbjmgMjPPeNPppGv04=',992487269,3
27.277.986-5,Joshua Anderson,b'AI3abTQatBD0SAMw0TOO4QWCIEkBPs3NMy4UZQ-64xg=',914253183,5
17.907.352-0,Jeffery Rodriguez,b'kODhPxa75OyweQf6CGxfogAA-yE_Xxr-ZHlR9GNPniA=',970695044,5
21.511.252-3,Mrs. Courtney Young,b'MHNoBaD1an-C7poKf2dUq0W48_n_2mAdsGj7ZnVhkeg=',929481880,5
20.144.486-5,Michael Contreras,b'LC10xO3lGq2JTkAqGRiyfuAmV8c_qmNckR1rtyEwhMQ=',950695616,2
2.464.727-k,Ricardo Mitchell,b'xv4Gpbu_FDGKbtSu3rynAjs62YLt32KZs7A_8SvcvaE=',970030522,3
37.930.189-3,Sheila White,b'Q-eN1n1QjdUMAN2dVDaj5HRnpphHSe6fzWF3FUdmDhs=',994900257,4
17.807.917-9,Kevin Torres,b'15BdFoUP-Xtw80HD9wd5cHTQ1JW5EcwqNEJR-Q6GMiU=',985034063,4
23.957.108-8,Elizabeth Flores PhD,b'dqkfAQJn24iPrRXRD9NRjh0YZG-qBYnL26y5NXLbV5A=',902443291,0
3.585.717-4,Grant Hernandez,b'T_hroO_RTwMEclrQ6WtSYGKgq-VhXE2H1Yd2Hd_-WmQ=',935470264,4
21.212.858-2,Michael Burton,b'Ykjnizc7pKsHZXa5Q3XkHItzyxz0cp8-tCdXrr_9vUA=',971548001,2
41.843.328-3,Mary Cruz,b'knDCQhQBoQMOJnT85KIKtYPHB21EcVYf5JK0E8UG8h4=',953887390,3
2.741.936-6,Carl Norton,b'vhkVEg1ZzD8RJU4_gwT2dN52LgM63YHNrQeoXMxpqy4=',941805662,4
5.241.299-2,Willie Davila,b'7OsqSI5O1Z51DNwczam4t6CUypVZ9h2fIi7molJtixY=',997979923,3
45.242.293-2,William Payne,b'qQQJ5TF0h8sBjv3LsbOzf_eZ5f_BaB34odJFzFsiuzc=',970626149,4
37.636.420-4,Christopher Allen,b'Z-1vcasGSH1Pj0DDSeHezVIWWI4_4dxzhV1O5B-tMD0=',918021101,5
48.492.474-6,Heather Thompson,b'UhVXytL70G6XooeW0KuqKNORgByG6Ns7x5ZJ1GORxMU=',944194393,5
